area_code,region_type,location_name
4,rural,Medicine Hat
6,urban,Calgary
13,rural,Lloydminster
17,rural,Rainbow Lake
18,rural,High Level
19,rural,Peace River
20,rural,Grande Prairie
21,rural,High Prairie
22,rural,Grande Cache
23,rural,Valleyview
24,rural,Fox Creek
25,rural,Fort McMurray
26,rural,Swan Hills
27,rural,Athabasca
28,rural,Cold Lake
29,rural,Hinton
30,rural,Drayton Valley
31,urban,Wetaskiwin
32,rural,Wainwright
33,urban,Fort Saskatchewan
34,rural,Abraham Lake
35,rural,Red Deer
36,rural,Alliance
37,rural,Provost
38,rural,Caroline
39,rural,Didsbury
40,urban,Wabamun
42,rural,Hanna
43,rural,Sheerness
44,urban,Seebe
45,urban,Strathmore
46,urban,High River
47,rural,Brooks
48,rural,Empress
49,rural,Stavely
52,urban,Vauxhall
53,urban,Fort Macleod
54,urban,Lethbridge
55,urban,Glenwood
56,urban,Vegreville
57,urban,Airdrie
60,urban,Edmonton